site;behaviour;category;complexity;presence;ref
Budongo;algae_fishing_with_tool;algae;1;0;Hobaiter et al. 2017 Variation in Hunting Behaviour in Neighbouring  Chimpanzee Communities in the Budongo Forest, Uganda
Budongo;ant_dipping_with_tool;ant;1;1;Mugisha et al. 2016 First Observation of Dorylus Ant Feeding in Budongo Chimpanzees Supports Absence of Stick-tool Culture Primates 57: 389-394
Budongo;ant_eating_without_tools;ant;0;0;
Budongo;ant_fishing_with_tool;ant;1;0;Hobaiter et al. 2014 Social Network Analysis Shows Direct Evidence for Social Transmission of Tool Use in Wild Chimpanzees Plos Biology 12: e1001960 
Budongo;cave_use;thermoregulation;0;0;Hobatier and Byrne 2014 The Meanings of Chimpanzee Gestures Current Biology 24: 1596-1600
Budongo;ground_nest;ground protection;0;0;Newton-Fisher 1999 Termite Eating and Food Sharing by Male Chimpanzees in the Budongo Forest, Uganda African Journal of Ecology 37: 369-371
Budongo;honey_aerial_with_tool;honey;1;0;Newton-Fisher 1999 The Diet of Chimpanzees in the Budongo Forest Reserve, Uganda African Journal of Ecology 37: 344-354
Budongo;honey_aerial_with_toolset;honey;2;0;Langergraber et al. 2011 Genetic and 'Cultural' Similarity in Wild Chimpanzees Proceedings of the Royal Society B 278: 408-416
Budongo;honey_eating_without_tools;honey;0;0;
Budongo;leaf_clipping;communication;1;1;
Budongo;leaf_cushion;ground protection;0;0;
Budongo;leaf_sponge;water;1;1;
Budongo;marrow_pick;vertebrates;1;0;
Budongo;nut_cracking;nut;2;0;
Budongo;stone_throwing;communication;1;0;
Budongo;termite_eating_without_tools;termite;0;1;
Budongo;termite_fishing_with_tool;termite;1;0;
Budongo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Budongo;water_dipping;water;1;0;
Bwindi;accumulative_stone_throwing;communication;2;0;Furuichi and Hashimoto 2004 Botanical and Topographical Factors Influencing Nesting-site Selection by Chimpanzees in Kalinzu Forest, Uganda International Journal of Primatology 25: 755-765
Bwindi;algae_fishing_with_tool;algae;1;0;Stanford and Nkurunungi 2003 Behavioral Ecology of Sympatric Chimpanzees and Gorillas in Bwindi Impenetrable National Park, Uganda: Diet International Journal of Primatology 24: 901-918
Bwindi;ant_dipping_with_tool;ant;1;0;
Bwindi;ant_eating_without_tools;ant;0;0;
Bwindi;ant_fishing_with_tool;ant;1;0;
Bwindi;cave_use;thermoregulation;0;0;
Bwindi;ground_nest;ground protection;0;1;
Bwindi;honey_aerial_with_tool;honey;1;1;
Bwindi;honey_aerial_with_toolset;honey;2;0;
Bwindi;honey_eating_without_tools;honey;0;0;
Bwindi;leaf_clipping;communication;1;0;
Bwindi;leaf_cushion;ground protection;0;0;
Bwindi;leaf_sponge;water;1;0;
