"","pop1","pop2","dyadID","ones","total","sim","index","simbin"
"366","Goualougo","Rubi-Tele","Goualougo_Rubi-Tele",867,932397,0.000929861421690546,395,8
"330","Gashaka","Tai","Gashaka_Tai",859,954124,0.000900302266791318,396,8
"114","Boe","Lope","Boe_Lope",182,940038,0.000193609194521924,397,8
"336","Gishwati","Korup","Gishwati_Korup",464,946837,0.000490052670100556,398,8
"1","Bafing","Bateke","Bafing_Bateke",12,861851,1.39235204229037e-05,399,8
"534","Ngogo","Nyungwe","Ngogo_Nyungwe",9688,954617,0.0101485726736482,400,8
"191","Comoe","Grebo","Comoe_Grebo",8345,958446,0.00870680246983137,401,8
"392","Issa-Ugalla","Kayan","Issa-Ugalla_Kayan",1853,957208,0.00193583839667032,402,8
"80","Bili-Uele","Kayan","Bili-Uele_Kayan",142,934670,0.000151925278440519,403,8
"74","Bili-Uele","Gashaka","Bili-Uele_Gashaka",591,934817,0.000632209298718359,404,8
"138","Budongo","Kabogo","Budongo_Kabogo",761,880642,0.000864142296188462,405,8
"453","Korup","Sapo","Korup_Sapo",428,948649,0.00045116792406886,406,8
"308","EastNimba","Tai","EastNimba_Tai",3170,952191,0.00332916400176015,407,8
"270","Djouroutou","Korup","Djouroutou_Korup",95,941935,0.000100856216193262,408,8
"216","Conkouati","Goualougo","Conkouati_Goualougo",6131,946626,0.00647668667456841,409,8
"107","Boe","Grebo","Boe_Grebo",6411,955306,0.00671093869398915,410,8
"498","Mbe","MtCristal","Mbe_MtCristal",936,949534,0.000985746692588154,411,8
"488","Lope","Ngogo","Lope_Ngogo",1668,943122,0.00176859409493151,412,8
"499","Mbe","Ngogo","Mbe_Ngogo",1068,952212,0.00112159897165757,413,8
"155","Budongo","Tai","Budongo_Tai",242,948378,0.00025517251560032,414,8
"497","Mbe","MtSangbe","Mbe_MtSangbe",75,940202,7.9770091958962e-05,415,8
"474","Loango","MtSangbe","Loango_MtSangbe",164,940039,0.000174460846837206,416,8
"265","Djouroutou","Goualougo","Djouroutou_Goualougo",82,942434,8.7008745439999e-05,417,8
"196","Comoe","LaBelgique","Comoe_LaBelgique",41,822588,4.98426916026006e-05,418,8
"31","Bafing","Sobeya","Bafing_Sobeya",1472,934188,0.00157569996617383,419,8
"489","Lope","Nyungwe","Lope_Nyungwe",1320,941918,0.00140139587522481,420,8
"173","Bwindi","MtCameroon","Bwindi_MtCameroon",90,858900,0.000104785190359762,421,8
"355","Goualougo","Kayan","Goualougo_Kayan",357,948972,0.00037619655795956,422,8
"233","Conkouati","Sapo","Conkouati_Sapo",866,952533,0.00090915485342765,423,8
"530","MtCristal","Sapo","MtCristal_Sapo",427,952327,0.000448375400466436,424,8
"48","Bateke","Kabogo","Bateke_Kabogo",55,820541,6.7028947974568e-05,425,8
"549","Rubi-Tele","Sobeya","Rubi-Tele_Sobeya",127,934036,0.000135969063290922,426,8
"144","Budongo","Mbe","Budongo_Mbe",417,946619,0.000440515138614374,427,8
"455","Korup","Bakoun-Sobory","Bakoun-Sobory_Korup",527,949112,0.000555255860214601,428,8
"377","Grebo","Loango","Grebo_Loango",1161,952598,0.00121877224180609,429,8
"82","Bili-Uele","LaBelgique","Bili-Uele_LaBelgique",162,816381,0.000198436759307235,430,8
"335","Gishwati","Kayan","Gishwati_Kayan",519,953104,0.000544536587822525,431,8
"56","Bateke","MtSangbe","Bateke_MtSangbe",8,863560,9.26397702533698e-06,432,8
"394","Issa-Ugalla","LaBelgique","Issa-Ugalla_LaBelgique",234,822652,0.000284445913946602,433,8
"272","Djouroutou","Loango","Djouroutou_Loango",146,944194,0.000154629239330053,434,8
"511","MtCameroon","Rubi-Tele","MtCameroon_Rubi-Tele",64,853370,7.49967774822176e-05,435,8
"16","Bafing","Kabogo","Bafing_Kabogo",19,872765,2.17698922390334e-05,436,8
"142","Budongo","Loango","Budongo_Loango",1618,947038,0.00170848477041048,437,8
"341","Gishwati","MtCameroon","Gishwati_MtCameroon",89,859268,0.000103576532583548,438,8
"252","Dindefelo","MtSangbe","Dindefelo_MtSangbe",703,939451,0.000748309384949295,439,8
"345","Gishwati","Nyungwe","Gishwati_Nyungwe",8426,951473,0.0088557426222289,440,8
"545","Nyungwe","Bakoun-Sobory","Bakoun-Sobory_Nyungwe",531,953970,0.00055662127739866,441,8
"133","Budongo","Gashaka","Budongo_Gashaka",1226,950391,0.00128999538084851,442,8
"560","Sobeya","Tai","Sobeya_Tai",2940,952677,0.00308604070424708,443,8
"303","EastNimba","Rubi-Tele","EastNimba_Rubi-Tele",81,934461,8.66809850812393e-05,444,8
"33","Bafing","Tai","Bafing_Tai",944,933879,0.00101083759245041,445,8
"380","Grebo","MtCameroon","Grebo_MtCameroon",57,859562,6.63128430526245e-05,446,8
"11","Bafing","Gashaka","Bafing_Gashaka",221,934615,0.000236461002658849,447,8
"6","Bafing","Comoe","Bafing_Comoe",1383,934800,0.00147946084724005,448,8
"205","Comoe","Rubi-Tele","Comoe_Rubi-Tele",211,935190,0.000225622600754927,449,9
"513","MtCameroon","Sapo","MtCameroon_Sapo",29,859397,3.3744590683933e-05,450,9
"209","Comoe","Bakoun-Sobory","Bakoun-Sobory_Comoe",6631,957881,0.0069225718017165,451,9
"168","Bwindi","Korup","Bwindi_Korup",407,943660,0.000431299408685332,452,9
"52","Bateke","Loango","Bateke_Loango",2340,866955,0.0026991020295171,453,9
"322","Gashaka","MtCristal","Gashaka_MtCristal",3627,952814,0.00380661913028146,454,9
"494","Lope","Bakoun-Sobory","Bakoun-Sobory_Lope",189,942688,0.000200490512237347,455,9
"235","Conkouati","Bakoun-Sobory","Bakoun-Sobory_Conkouati",1112,953323,0.00116644620973164,456,9
"93","Bili-Uele","Sapo","Bili-Uele_Sapo",111,934316,0.00011880348832729,457,9
"368","Goualougo","Sapo","Goualougo_Sapo",253,948428,0.000266757202444466,458,9
"555","Sangaredi","Tai","Sangaredi_Tai",1597,947437,0.00168560020349638,459,9
"147","Budongo","MtCristal","Budongo_MtCristal",2043,947982,0.00215510421083945,460,9
"301","EastNimba","Ngogo","EastNimba_Ngogo",700,954312,0.000733512729589484,461,9
"38","Bateke","Comoe","Bateke_Comoe",43,867514,4.95669234156452e-05,462,9
"482","Loango","Bakoun-Sobory","Bakoun-Sobory_Loango",995,952404,0.00104472471766183,463,9
"451","Korup","Rubi-Tele","Korup_Rubi-Tele",213,931484,0.000228667373782051,464,9
"361","Goualougo","MtCameroon","Goualougo_MtCameroon",293,858481,0.000341300506359488,465,9
"375","Grebo","Korup","Grebo_Korup",631,949174,0.000664788542459022,466,9
"331","Gishwati","Goualougo","Gishwati_Goualougo",1533,947408,0.00161809906608346,467,9
"334","Gishwati","Kabogo","Gishwati_Kabogo",1076,883009,0.00121856062622238,468,9
"15","Bafing","Issa-Ugalla","Bafing_Issa-Ugalla",155,934459,0.000165871375844205,469,9
"239","Dindefelo","Gashaka","Dindefelo_Gashaka",438,950677,0.000460724304890094,470,9
"189","Comoe","Gishwati","Comoe_Gishwati",740,953370,0.000776193922611368,471,9
"403","Issa-Ugalla","Rubi-Tele","Issa-Ugalla_Rubi-Tele",2051,935471,0.00219247844134131,472,9
"243","Dindefelo","Issa-Ugalla","Dindefelo_Issa-Ugalla",371,950391,0.000390365649506361,473,9
"440","Kayan","Bakoun-Sobory","Bakoun-Sobory_Kayan",6979,957456,0.00728910780234288,474,9
"316","Gashaka","LaBelgique","Gashaka_LaBelgique",606,822678,0.000736618701363109,475,9
"64","Bateke","Bakoun-Sobory","Bakoun-Sobory_Bateke",33,867490,3.80407843318079e-05,476,9
"224","Conkouati","Lope","Conkouati_Lope",10670,940549,0.0113444381951392,477,9
"97","Boe","Budongo","Boe_Budongo",419,949737,0.000441174767330324,478,9
"67","Bili-Uele","Budongo","Bili-Uele_Budongo",2240,933430,0.00239975145431366,479,9
"337","Gishwati","LaBelgique","Gishwati_LaBelgique",185,822356,0.000224963397847161,480,9
"165","Bwindi","Issa-Ugalla","Bwindi_Issa-Ugalla",5351,949224,0.00563723631092345,481,9
"228","Conkouati","MtCristal","Conkouati_MtCristal",8448,950211,0.00889065691725312,482,9
"384","Grebo","Nyungwe","Grebo_Nyungwe",621,953864,0.000651036206419364,483,9
"226","Conkouati","MtCameroon","Conkouati_MtCameroon",255,859386,0.000296723474666797,484,9
"51","Bateke","LaBelgique","Bateke_LaBelgique",202,778404,0.000259505346837889,485,9
"14","Bafing","Grebo","Bafing_Grebo",1325,934683,0.00141759291652892,486,9
"350","Gishwati","Bakoun-Sobory","Bakoun-Sobory_Gishwati",547,953116,0.000573907058532225,487,9
"397","Issa-Ugalla","Mbe","Issa-Ugalla_Mbe",657,951508,0.000690482896623045,488,9
"279","Djouroutou","Nyungwe","Djouroutou_Nyungwe",97,945903,0.000102547512799938,489,9
"401","Issa-Ugalla","Ngogo","Issa-Ugalla_Ngogo",9730,958379,0.010152559686721,490,9
"128","Budongo","Comoe","Budongo_Comoe",655,950431,0.000689161022736001,491,9
"180","Bwindi","Sapo","Bwindi_Sapo",267,948612,0.000281463865099746,492,9
"285","Djouroutou","Tai","Djouroutou_Tai",2205,946020,0.00233081753028477,493,9
"44","Bateke","Gishwati","Bateke_Gishwati",112,867208,0.000129150100091328,494,9
"204","Comoe","Nyungwe","Comoe_Nyungwe",788,954100,0.000825909233832932,495,9
"234","Conkouati","Sobeya","Conkouati_Sobeya",818,952340,0.000858936934288174,496,9
"551","Rubi-Tele","Tai","Rubi-Tele_Tai",81,934538,8.66738431182039e-05,497,9
"396","Issa-Ugalla","Lope","Issa-Ugalla_Lope",1112,942751,0.00117952672550864,498,9
"472","Loango","Mbe","Loango_Mbe",677,948231,0.000713961049575473,499,9
"39","Bateke","Conkouati","Bateke_Conkouati",2670,867346,0.00307835627304444,500,9
"495","Lope","Tai","Lope_Tai",113,941624,0.000120005437414509,501,9
"124","Boe","Sobeya","Boe_Sobeya",5343,953314,0.00560465911546458,502,9
"223","Conkouati","Loango","Conkouati_Loango",20269,949630,0.0213441024398976,503,9
"471","Loango","Lope","Loango_Lope",9917,940496,0.0105444361273201,504,9
"444","Korup","Lope","Korup_Lope",380,938267,0.000405001987707124,505,10
"104","Boe","Gashaka","Boe_Gashaka",2160,954997,0.00226178720980275,506,10
"246","Dindefelo","Korup","Dindefelo_Korup",115,944749,0.00012172545300392,507,10
"232","Conkouati","Sangaredi","Conkouati_Sangaredi",215,946123,0.000227243180854921,508,10
"360","Goualougo","Mbe","Goualougo_Mbe",816,946008,0.000862571986706244,509,10
"140","Budongo","Korup","Budongo_Korup",422,944148,0.000446963823468355,510,10
"43","Bateke","Gashaka","Bateke_Gashaka",285,867632,0.00032848027735261,511,10
"363","Goualougo","MtCristal","Goualougo_MtCristal",9743,947355,0.010284423473777,512,10
"460","LaBelgique","MtCameroon","LaBelgique_MtCameroon",78,774272,0.000100739791701108,513,10
"374","Grebo","Kayan","Grebo_Kayan",6192,957780,0.00646495019733133,514,10
"465","LaBelgique","Rubi-Tele","LaBelgique_Rubi-Tele",120,817119,0.000146857434474048,515,10
"300","EastNimba","MtCristal","EastNimba_MtCristal",261,951180,0.000274396013372863,516,10
"156","Bwindi","Comoe","Bwindi_Comoe",540,949569,0.000568679053338936,517,10
"510","MtCameroon","Nyungwe","MtCameroon_Nyungwe",120,859406,0.000139631326753595,518,10
"292","EastNimba","Kayan","EastNimba_Kayan",3108,953846,0.00325838762232058,519,10
"151","Budongo","Sangaredi","Budongo_Sangaredi",124,944239,0.000131322684193303,520,10
"314","Gashaka","Kayan","Gashaka_Kayan",2185,957329,0.0022823919467602,521,10
"343","Gishwati","MtCristal","Gishwati_MtCristal",2232,950888,0.0023472795954939,522,10
"533","MtCristal","Tai","MtCristal_Tai",255,951344,0.000268041843959703,523,10
"163","Bwindi","Goualougo","Bwindi_Goualougo",1468,944215,0.0015547306492695,524,10
"327","Gashaka","Sapo","Gashaka_Sapo",1465,956042,0.0015323594570113,525,10
"342","Gishwati","MtSangbe","Gishwati_MtSangbe",115,941025,0.000122207167716054,526,10
"550","Rubi-Tele","Bakoun-Sobory","Bakoun-Sobory_Rubi-Tele",173,935340,0.000184959479975196,527,10
"148","Budongo","Ngogo","Budongo_Ngogo",10133,950748,0.0106579240766218,528,10
"459","LaBelgique","Mbe","LaBelgique_Mbe",148,822017,0.00018004493824337,529,10
"302","EastNimba","Nyungwe","EastNimba_Nyungwe",255,951873,0.000267892880667904,530,10
"220","Conkouati","Kayan","Conkouati_Kayan",1117,953421,0.00117157058634119,531,10
"121","Boe","Rubi-Tele","Boe_Rubi-Tele",152,932680,0.000162971222713042,532,10
"143","Budongo","Lope","Budongo_Lope",885,938922,0.000942570309354771,533,10
"267","Djouroutou","Issa-Ugalla","Djouroutou_Issa-Ugalla",228,946882,0.00024079029910802,534,10
"525","MtSangbe","Tai","MtSangbe_Tai",1223,941708,0.00129870405688387,535,10
