site2;site1;dyadID;behaviour;complexity;presence1;presence2;shared;ibdbinary;ibdsource;neprabinary;neprasimilarity;sameregion;samehabitat;distance;min_observationtime_months;lon1;lat1;lon2;lat2;region1;region2;habitat1;habitat2;obstime1;obstime2;z.log.nepra;z.log.geo;z.obstime;z.log.obstime;refug.x;precip.x;refug.y;precip.y;meanref;z.sqrt.ref;meanprecip;z.log.precip
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Ant eating;0;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Leaf sponge;1;0;0;0;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Marrow pick;1;0;0;0;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Nut cracking;2;0;NA;NA;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Termite eating;0;0;0;0;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Termite fishing;1;0;1;0;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Underground toolset;2;0;0;0;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Conkouati;Bakoun-Sobory_Conkouati;Water dipping;1;0;0;0;0;0;1;0.001166446;0;0;3023313.579;14;11.19912905;-3.947261686;-11.20404681;11.68425259;C;W;forest;savannah;24;14;0.536661609;0.655049736;-0.192856179;0.087532125;34.03866033;76;465.7672566;112;249.9029585;0.511147448;94;1.221793082
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Honey toolset;2;1;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Honey underground ;1;0;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Leaf sponge;1;1;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Marrow pick;1;1;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Nut cracking;2;0;NA;NA;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Termite eating;0;0;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Termite fishing;1;1;1;1;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
Bakoun-Sobory;Goualougo;Bakoun-Sobory_Goualougo;Underground toolset;2;1;0;0;0;0;0;0.00036778;0;0;3244428.412;14;16.607265;2.177149498;-11.20404681;11.68425259;C;W;forest;savannah;180;14;-0.154947706;0.727063281;-0.192856179;0.087532125;146.725973;37;465.7672566;112;306.2466148;0.82661258;74.5;0.375606764
